sid,knn_1,knn_2,knn_3
cwbuoy_22441,buoy_21229,koofs_KG_0101,koofs_DT_0013
cwbuoy_22442,koofs_DT_0013,cwbuoy_22443,cwbuoy_22464
cwbuoy_22443,cwbuoy_22442,cwbuoy_22464,koofs_DT_0013
cwbuoy_22444,cwbuoy_22488,cwbuoy_22445,cwbuoy_22487
cwbuoy_22445,cwbuoy_22487,koofs_TW_0069,cwbuoy_22488
cwbuoy_22449,cwbuoy_22500,cwbuoy_22503,cwbuoy_22481
cwbuoy_22450,cwbuoy_22501,cwbuoy_22498,cwbuoy_22499
cwbuoy_22451,koofs_TW_0089,koofs_TW_0091,koofs_DT_0006
cwbuoy_22454,koofs_HB_0002,cwbuoy_22483,koofs_HB_0003
cwbuoy_22455,koofs_DT_0029,cwbuoy_22485,cwbuoy_22467
cwbuoy_22456,koofs_DT_0027,koofs_TW_0078,koofs_TW_0081
cwbuoy_22457,koofs_DT_0004,koofs_KG_0028,cwbuoy_22491
cwbuoy_22458,koofs_TW_0075,koofs_DT_0023,cwbuoy_22476
cwbuoy_22459,koofs_TW_0087,koofs_TW_0062,koofs_DT_0005
cwbuoy_22460,koofs_TW_0088,koofs_DT_0005,koofs_TW_0087
cwbuoy_22461,cwbuoy_22472,koofs_TW_0082,buoy_22101
cwbuoy_22464,koofs_DT_0013,cwbuoy_22442,cwbuoy_22443
cwbuoy_22465,koofs_DT_0011,buoy_22190,buoy_22106
cwbuoy_22466,koofs_DT_0016,koofs_TW_0083,cwbuoy_22502
cwbuoy_22467,koofs_TW_0084,cwbuoy_22485,cwbuoy_22499
cwbuoy_22468,koofs_DT_0021,buoy_22184,cwbuoy_22477
cwbuoy_22469,koofs_DT_0022,cwbuoy_22495,cwbuoy_22491
cwbuoy_22471,koofs_DT_0012,koofs_TW_0091,cwbuoy_22451
cwbuoy_22472,buoy_22101,cwbuoy_22461,cwbuoy_22496
cwbuoy_22473,koofs_TW_0069,cwbuoy_22445,koofs_TW_0072
cwbuoy_22474,koofs_TW_0072,koofs_DT_0018,cwbuoy_22492
cwbuoy_22475,koofs_TW_0079,cwbuoy_22494,cwbuoy_22504
cwbuoy_22476,koofs_DT_0023,cwbuoy_22505,cwbuoy_22458
cwbuoy_22477,koofs_DT_0028,cwbuoy_22456,koofs_DT_0027
cwbuoy_22478,koofs_DT_0026,koofs_TW_0081,koofs_DT_0031
cwbuoy_22479,koofs_DT_0006,koofs_TW_0089,cwbuoy_22451
cwbuoy_22481,cwbuoy_22500,cwbuoy_22503,cwbuoy_22449
cwbuoy_22483,koofs_HB_0003,koofs_HB_0002,cwbuoy_22454
cwbuoy_22484,koofs_TW_0085,koofs_TW_0086,koofs_DT_0062
cwbuoy_22485,cwbuoy_22467,koofs_TW_0084,cwbuoy_22499
cwbuoy_22486,cwbuoy_22505,koofs_DT_0023,cwbuoy_22476
cwbuoy_22487,cwbuoy_22445,cwbuoy_22488,koofs_TW_0069
cwbuoy_22488,cwbuoy_22487,cwbuoy_22445,cwbuoy_22444
cwbuoy_22489,cwbuoy_22493,cwbuoy_22494,buoy_22102
cwbuoy_22490,koofs_DT_0091,buoy_22106,koofs_DT_0011
cwbuoy_22491,koofs_DT_0022,koofs_KG_0028,cwbuoy_22469
cwbuoy_22492,cwbuoy_22504,cwbuoy_22497,cwbuoy_22474
cwbuoy_22493,buoy_22102,cwbuoy_22489,koofs_TW_0080
cwbuoy_22494,cwbuoy_22475,cwbuoy_22489,cwbuoy_22493
cwbuoy_22495,koofs_DT_0022,cwbuoy_22469,cwbuoy_22491
cwbuoy_22496,koofs_TW_0076,koofs_TW_0077,koofs_DT_0001
cwbuoy_22497,cwbuoy_22492,cwbuoy_22504,cwbuoy_22474
cwbuoy_22498,cwbuoy_22450,koofs_TW_0083,cwbuoy_22501
cwbuoy_22499,cwbuoy_22467,koofs_TW_0084,koofs_DT_0014
cwbuoy_22500,cwbuoy_22503,cwbuoy_22449,cwbuoy_22481
cwbuoy_22501,koofs_DT_0061,cwbuoy_22450,cwbuoy_22498
cwbuoy_22502,cwbuoy_22466,koofs_DT_0026,koofs_DT_0016
cwbuoy_22503,cwbuoy_22500,koofs_DT_0028,cwbuoy_22449
cwbuoy_22504,koofs_TW_0079,cwbuoy_22492,cwbuoy_22497
cwbuoy_22505,koofs_DT_0023,cwbuoy_22476,cwbuoy_22486
buoy_21229,koofs_DT_0013,cwbuoy_22464,cwbuoy_22442
buoy_22101,cwbuoy_22472,cwbuoy_22461,koofs_TW_0082
buoy_22102,cwbuoy_22493,koofs_TW_0080,cwbuoy_22489
buoy_22103,koofs_DT_0031,cwbuoy_22502,cwbuoy_22478
buoy_22104,koofs_DT_0029,cwbuoy_22455,cwbuoy_22460
buoy_22105,koofs_KG_0102,buoy_22190,cwbuoy_22479
buoy_22106,cwbuoy_22490,koofs_DT_0011,cwbuoy_22465
buoy_22107,cwbuoy_22505,cwbuoy_22476,koofs_DT_0023
buoy_22108,koofs_DT_0037,cwbuoy_22444,cwbuoy_22473
buoy_22183,koofs_DT_0007,cwbuoy_22449,cwbuoy_22489
