stype,sid,sname,Latitude,Longitude
kma,22441,독도,37.2372,131.8694
kma,22442,혈암,37.5414,130.8542
kma,22443,구암,37.4789,130.8044
kma,22444,신진도,36.6068,126.1261
kma,22445,삽시도,36.37,126.335
kma,22449,진도,34.4425,126.0569
kma,22450,두미도,34.71,128.1492
kma,22451,연곡,37.8674,128.8856
kma,22454,장안,35.2958,129.2883
kma,22455,해금강,34.7358,128.6908
kma,22456,청산도,34.1381,126.7442
kma,22457,제주항,33.5253,126.4939
kma,22458,중문,33.2254,126.3931
kma,22459,오륙도,35.095,129.1283
kma,22460,다대포,35.0224,128.9561
kma,22461,이작도,37.1551,126.2007
kma,22464,울릉읍,37.4714,130.9003
kma,22465,후포,36.7192,129.4881
kma,22466,금오도,34.5667,127.7767
kma,22467,한산도,34.7056,128.4961
kma,22468,추자도,33.9731,126.2783
kma,22469,우도,33.5222,126.9667
kma,22471,토성,38.2773,128.5757
kma,22472,자월도,37.3044,126.1581
kma,22473,서천,36.1669,126.3328
kma,22474,군산,35.8881,126.4256
kma,22475,영광,35.4358,126.1764
kma,22476,가파도,33.1626,126.2639
kma,22477,노화도,34.2417,126.4917
kma,22478,고흥,34.3753,127.1786
kma,22479,맹방,37.4017,129.2292
kma,22481,맹골수도,34.2093,125.9547
kma,22483,간절곶,35.367,129.375
kma,22484,잠도,35.058,128.681
kma,22485,소매물도,34.621,128.538
kma,22486,협재,33.4005,126.2091
kma,22487,천수만,36.4672,126.4394
kma,22488,안면도,36.5369,126.2981
kma,22489,대치마도,35.0175,126.0319
kma,22490,월포,36.2169,129.4017
kma,22491,김녕,33.5817,126.7636
kma,22492,비안도,35.7404,126.3523
kma,22493,자은,34.9192,125.8681
kma,22494,낙월,35.2006,126.2103
kma,22495,신산,33.3778,126.9058
kma,22496,장봉도,37.4914,126.3542
kma,22497,변산,35.6592,126.4592
kma,22498,남해,34.6964,127.9925
kma,22499,연화도,34.6733,128.3653
kma,22500,조도,34.2872,126.1153
kma,22501,사량도,34.8608,128.1398
kma,22502,나로도,34.4322,127.5894
kma,22503,불무도,34.3178,126.1742
kma,22504,위도,35.6584,126.261
kma,22505,영락,33.2386,126.1947
kma,22507,초도,34.1511,127.2181
kma,22509,장안퇴,37.0336,126.2831
kma,22511,기장,35.2222,129.2833
kma,22512,지심도,34.8278,128.775
kma,22513,이수도,34.9717,128.7583
kma,22514,구엄,33.521,126.3749
kma,22515,위미,33.2237,126.7112
kma,22516,신창,33.3669,126.1089
kma,22517,하도,33.5608,126.9298
kma,22518,당사,35.5778,129.5028
kma,22519,고성,38.3172,128.6392
kma,22520,강릉,37.7983,129.0608
kma,22521,삼척,37.4639,129.3181
kma,22522,연평도,37.6194,125.6483
kma,22523,죽변,37.1028,129.4594
kma,22524,구룡포,35.9678,129.5986
kma,21229,울릉도,37.4554,131.1144
kma,22101,덕적도,37.2361,126.0188
kma,22102,칠발도,34.7933,125.7769
kma,22103,거문도,34.0014,127.5014
kma,22104,거제도,34.7667,128.9
kma,22105,동해,37.5442,130.0
kma,22106,포항,36.35,129.7833
kma,22107,마라도,33.0833,126.0333
kma,22108,외연도 ,36.25,125.75
kma,22183,신안,34.7333,126.2417
kma,22184,추자도,33.7936,126.1411
kma,22185,인천,37.0917,125.4289
kma,22186,부안,35.6586,125.8139
kma,22187,서귀포,33.1281,127.0228
kma,22188,통영,34.3917,128.225
kma,22189,울산,35.3453,129.8414
kma,22190,울진,36.9069,129.8744
kma,22191,서해170,36.1333,124.0569
kma,22192,서해206,34.0,123.2625
kma,22297,가거도,34.0275,125.2147
kma,22298,홍도,34.7467,125.2456
kma,22299,서해190,35.0,124.13
kma,22300,남해239,32.83,124.73
kma,22301,남해465,31.6667,126.4
kma,22302,동해78,36.9667,130.5167
kma,22303,풍도,37.16,126.41
koofs,TW_0088,감천항,35.052,129.003
koofs,TW_0077,경인항,37.523,126.592
koofs,TW_0089,경포대해수욕장,37.808,128.931
koofs,TW_0074,광양항,34.859,127.792
koofs,TW_0072,군산항,35.984,126.508
koofs,TW_0091,낙산해수욕장,38.122,128.65
koofs,KG_0025,남해동부,34.222,128.419
koofs,TW_0069,대천해수욕장,36.274,126.457
koofs,KG_0024,대한해협,34.919,129.121
koofs,TW_0085,마산항,35.103,128.631
koofs,TW_0094,망상해수욕장,37.593,129.09
koofs,TW_0087,부산항,35.091,129.085
koofs,TW_0086,부산항신항,35.043,128.761
koofs,TW_0079,상왕등도,35.652,126.194
koofs,TW_0081,생일도,34.258,126.96
koofs,TW_0093,속초해수욕장,38.198,128.631
koofs,TW_0090,송정해수욕장,35.164,129.219
koofs,TW_0083,여수항,34.794,127.808
koofs,TW_0078,완도항,34.325,126.763
koofs,TW_0080,우이도,34.543,125.802
koofs,KG_0101,울릉도북동,38.007,131.552
koofs,KG_0102,울릉도북서,37.742,130.601
koofs,TW_0076,인천항,37.389,126.533
koofs,TW_0092,임랑해수욕장,35.302,129.292
koofs,KG_0021,제주남부,32.09,126.965
koofs,KG_0028,제주해협,33.7,126.59
koofs,TW_0075,중문해수욕장,33.234,126.409
koofs,TW_0082,태안항,37.006,126.27
koofs,TW_0084,통영항,34.773,128.46
koofs,TW_0070,평택당진항,37.136,126.54
koofs,HB_0002,한수원_고리,35.318,129.314
koofs,HB_0001,한수원_기장,35.182,129.235
koofs,HB_0009,한수원_나곡,37.119,129.395
koofs,HB_0008,한수원_덕천,37.1,129.404
koofs,HB_0007,한수원_온양,37.019,129.425
koofs,HB_0003,한수원_진하,35.384,129.368
koofs,TW_0062,해운대해수욕장,35.148,129.17
koofs,DT_0063,가덕도,35.024,128.81
koofs,DT_0032,강화대교,37.731,126.522
koofs,DT_0031,거문도,34.028,127.308
koofs,DT_0029,거제도,34.801,128.699
koofs,DT_0058,경인항,37.56,126.601
koofs,DT_0026,고흥발포,34.481,127.342
koofs,DT_0049,광양,34.903,127.754
koofs,DT_0042,교본초,34.704,128.306
koofs,DT_0018,군산,35.975,126.563
koofs,DT_0017,대산,37.007,126.352
koofs,DT_0065,덕적도,37.226,126.156
koofs,DT_0057,동해항,37.494,129.143
koofs,DT_0062,마산,35.197,128.576
koofs,DT_0023,모슬포,33.214,126.251
koofs,DT_0007,목포,34.779,126.375
koofs,DT_0006,묵호,37.55,129.116
koofs,DT_0025,보령,36.406,126.486
koofs,DT_0041,복사초,34.098,126.168
koofs,DT_0005,부산,35.096,129.035
koofs,DT_0056,부산항신항,35.077,128.786
koofs,DT_0061,삼천포,34.924,128.069
koofs,DT_0010,서귀포,33.24,126.561
koofs,DT_0051,서천마량,36.128,126.495
koofs,DT_0022,성산포,33.474,126.927
koofs,DT_0012,속초,38.207,128.594
koofs,IE_0061,신안가거초,33.941,124.592
koofs,DT_0008,안산,37.192,126.647
koofs,DT_0067,안흥,36.674,126.129
koofs,DT_0037,어청도,36.117,125.984
koofs,DT_0016,여수,34.747,127.765
koofs,DT_0092,여호항,34.661,127.469
koofs,DT_0003,영광,35.426,126.42
koofs,DT_0044,영종대교,37.545,126.584
koofs,DT_0043,영흥도,37.238,126.428
koofs,IE_0062,옹진소청초,37.423,124.738
koofs,DT_0027,완도,34.315,126.759
koofs,DT_0039,왕돌초,36.719,129.732
koofs,DT_0013,울릉도,37.491,130.913
koofs,DT_0020,울산,35.501,129.387
koofs,DT_0068,위도,35.618,126.301
koofs,IE_0060,이어도,32.122,125.182
koofs,DT_0001,인천,37.451,126.592
koofs,DT_0052,인천송도,37.338,126.586
koofs,DT_0024,장항,36.006,126.687
koofs,DT_0004,제주,33.527,126.543
koofs,DT_0028,진도,34.377,126.308
koofs,DT_0021,추자도,33.961,126.3
koofs,DT_0050,태안,36.913,126.238
koofs,DT_0014,통영,34.827,128.434
koofs,DT_0002,평택,36.966,126.822
koofs,DT_0091,포항,36.047,129.383
koofs,DT_0066,향화도,35.167,126.359
koofs,DT_0011,후포,36.677,129.453
koofs,DT_0035,흑산도,34.684,125.435
